X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_num,day_num,log_area,drought_index,high_risk,fire_size,season,drought_level,temp_band
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,3,4,0.0,0.1576923076923077,0,Small,Spring,Safe,0-10°C
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,10,1,0.0,0.5294117647058824,0,Small,Autumn,Moderate,15-20°C
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,10,5,0.0,0.4294117647058823,0,Small,Autumn,Moderate,10-15°C
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,3,4,0.0,0.08469387755102041,0,Small,Spring,Safe,0-10°C
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,3,6,0.0,0.114,0,Small,Spring,Safe,10-15°C
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,8,6,0.0,0.74,0,Small,Summer,High,20-25°C
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,8,0,0.0,0.8607142857142858,0,Small,Summer,High,20-25°C
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,8,0,0.0,0.09195402298850575,0,Small,Summer,Safe,0-10°C
8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,9,1,0.0,0.2046875,0,Small,Autumn,Safe,10-15°C
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,9,5,0.0,0.5560975609756098,0,Small,Autumn,Moderate,20-25°C
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,9,5,0.0,0.3423076923076923,0,Small,Autumn,Moderate,15-20°C
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,9,5,0.0,0.4948717948717949,0,Small,Autumn,Moderate,15-20°C
6,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,8,4,0.0,0.2328767123287671,0,Small,Summer,Safe,15-20°C
6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,9,0,0.0,0.49534883720930234,0,Small,Autumn,Moderate,20-25°C
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,9,2,0.0,1.2,1,Small,Autumn,Dangerous,25+°C
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,9,4,0.0,0.5088888888888888,0,Small,Autumn,Moderate,20-25°C
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,3,5,0.0,0.5392857142857143,0,Small,Spring,Moderate,15-20°C
8,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,10,0,0.0,0.34791666666666665,0,Small,Autumn,Moderate,15-20°C
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,3,2,0.0,0.44166666666666665,0,Small,Spring,Moderate,15-20°C
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,4,5,0.0,0.2066666666666667,0,Small,Spring,Safe,0-10°C
6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,9,1,0.0,0.44634146341463415,0,Small,Autumn,Moderate,15-20°C
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,9,0,0.0,0.4897435897435898,0,Small,Autumn,Moderate,15-20°C
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,6,6,0.0,0.4666666666666667,0,Small,Summer,Moderate,20-25°C
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,8,5,0.0,0.4431818181818182,0,Small,Summer,Moderate,15-20°C
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,8,5,0.0,0.7181818181818181,0,Small,Summer,High,20-25°C
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,8,6,0.0,0.26721311475409837,0,Small,Summer,Safe,15-20°C
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,9,4,0.0,0.5428571428571428,0,Small,Autumn,Moderate,15-20°C
7,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,9,0,0.0,0.39591836734693875,0,Small,Autumn,Moderate,15-20°C
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,9,5,0.0,1.208,1,Small,Autumn,Dangerous,25+°C
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,9,6,0.0,0.5700000000000001,0,Small,Autumn,Moderate,20-25°C
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,9,4,0.0,1.016,1,Small,Autumn,Dangerous,25+°C
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,9,0,0.0,0.14177215189873416,0,Small,Autumn,Safe,10-15°C
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,9,4,0.0,0.5421052631578948,0,Small,Autumn,Moderate,20-25°C
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,9,6,0.0,0.4425,0,Small,Autumn,Moderate,15-20°C
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,9,0,0.0,0.6424242424242425,0,Small,Autumn,High,20-25°C
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,9,1,0.0,0.28888888888888886,0,Small,Autumn,Safe,15-20°C
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,10,1,0.0,0.868,0,Small,Autumn,High,20-25°C
7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,10,4,0.0,0.18524590163934426,0,Small,Autumn,Safe,10-15°C
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,10,5,0.0,0.6357142857142858,0,Small,Autumn,High,15-20°C
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,3,1,0.0,0.32045454545454544,0,Small,Spring,Moderate,10-15°C
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,7,1,0.0,0.6131578947368421,0,Small,Summer,High,20-25°C
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,8,5,0.0,0.42790697674418604,0,Small,Summer,Moderate,15-20°C
4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,8,1,0.0,0.3018181818181818,0,Small,Summer,Moderate,15-20°C
4,4,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,9,5,0.0,0.4,0,Small,Autumn,Moderate,15-20°C
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,9,2,0.0,0.17200000000000001,0,Small,Autumn,Safe,10-15°C
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,9,2,0.0,1.036,1,Small,Autumn,Dangerous,25+°C
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,9,0,0.0,0.20704225352112676,0,Small,Autumn,Safe,10-15°C
6,6,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,7,0,0.0,0.6216216216216216,0,Small,Summer,High,20-25°C
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,3,0,0.0,0.3277777777777778,0,Small,Spring,Moderate,10-15°C
4,4,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,3,0,0.0,0.23404255319148937,0,Small,Spring,Safe,10-15°C
4,4,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,9,3,0.0,1.1555555555555557,0,Small,Autumn,Dangerous,20-25°C
4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,8,6,0.0,0.6142857142857143,0,Small,Summer,High,20-25°C
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,8,2,0.0,0.47441860465116276,0,Small,Summer,Moderate,20-25°C
4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,8,3,0.0,0.3826086956521739,0,Small,Summer,Moderate,15-20°C
4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,9,3,0.0,1.1079999999999999,1,Small,Autumn,Dangerous,25+°C
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,9,1,0.0,0.278125,0,Small,Autumn,Safe,15-20°C
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,10,6,0.0,0.2705882352941177,0,Small,Autumn,Safe,10-15°C
2,2,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,2,0,0.0,0.33902439024390246,0,Small,Winter,Moderate,10-15°C
2,2,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,2,4,0.0,0.23653846153846156,0,Small,Winter,Safe,10-15°C
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,3,6,0.0,0.2875,0,Small,Spring,Safe,10-15°C
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,3,6,0.0,0.09166666666666666,0,Small,Spring,Safe,0-10°C
2,2,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,8,3,0.0,0.5222222222222223,0,Small,Summer,Moderate,15-20°C
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,8,6,0.0,0.611764705882353,0,Small,Summer,High,20-25°C
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,8,0,0.0,0.721875,0,Small,Summer,High,20-25°C
2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,8,3,0.0,0.4133333333333334,0,Small,Summer,Moderate,15-20°C
2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,9,4,0.0,0.6052631578947368,0,Small,Autumn,High,20-25°C
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,9,4,0.0,0.5764705882352942,0,Small,Autumn,Moderate,15-20°C
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,9,4,0.0,0.5764705882352942,0,Small,Autumn,Moderate,15-20°C
4,5,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,3,4,0.0,0.637037037037037,0,Small,Spring,High,15-20°C
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,3,4,0.0,0.5642857142857143,0,Small,Spring,Moderate,15-20°C
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,9,4,0.0,0.46578947368421053,0,Small,Autumn,Moderate,15-20°C
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,3,4,0.0,0.6,0,Small,Spring,Moderate,15-20°C
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,8,1,0.0,0.3931818181818182,0,Small,Summer,Moderate,15-20°C
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,9,4,0.0,0.8903225806451613,0,Small,Autumn,High,25+°C
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,2,3,0.0,0.08375,0,Small,Winter,Safe,0-10°C
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,2,4,0.0,0.3568181818181818,0,Small,Winter,Moderate,15-20°C
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,3,0,0.0,0.1136986301369863,0,Small,Spring,Safe,0-10°C
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,8,4,0.0,0.21940298507462686,0,Small,Summer,Safe,10-15°C
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,8,1,0.0,1.08,0,Small,Summer,Dangerous,20-25°C
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,8,6,0.0,0.4875,0,Small,Summer,Moderate,15-20°C
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,8,6,0.0,0.39777777777777773,0,Small,Summer,Moderate,15-20°C
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,8,1,0.0,0.3576923076923077,0,Small,Summer,Moderate,15-20°C
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,8,2,0.0,0.3458333333333334,0,Small,Summer,Moderate,15-20°C
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,8,3,0.0,0.43913043478260866,0,Small,Summer,Moderate,20-25°C
1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,9,3,0.0,1.34375,0,Small,Autumn,Dangerous,20-25°C
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,9,3,0.0,0.9071428571428571,1,Small,Autumn,High,25+°C
1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,9,3,0.0,0.64,0,Small,Autumn,High,20-25°C
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,9,6,0.0,0.6837837837837838,0,Small,Autumn,High,25+°C
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,3,5,0.0,0.6692307692307692,0,Small,Spring,High,15-20°C
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,8,5,0.0,0.245,0,Small,Summer,Safe,10-15°C
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,3,4,0.0,0.696,0,Small,Spring,High,15-20°C
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,8,6,0.0,0.6303030303030304,0,Small,Summer,High,20-25°C
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,8,6,0.0,0.41363636363636364,0,Small,Summer,Moderate,15-20°C
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,8,0,0.0,1.017391304347826,0,Small,Summer,Dangerous,20-25°C
4,4,sep,sun,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0,9,6,0.0,0.27384615384615385,0,Small,Autumn,Safe,15-20°C
3,4,feb,sat,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0,2,5,0.0,0.25918367346938775,0,Small,Winter,Safe,10-15°C
3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0,3,5,0.0,0.696,0,Small,Spring,High,15-20°C
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,8,6,0.0,0.1318181818181818,0,Small,Summer,Safe,10-15°C
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,8,6,0.0,0.495,0,Small,Summer,Moderate,15-20°C
3,4,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,8,1,0.0,0.21492537313432836,0,Small,Summer,Safe,10-15°C
2,4,aug,tue,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,8,1,0.0,0.49024390243902444,0,Small,Summer,Moderate,20-25°C
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,9,5,0.0,0.8033333333333333,0,Small,Autumn,High,20-25°C
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,1,5,0.0,0.0670886075949367,0,Small,Winter,Safe,0-10°C
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,3,4,0.0,0.23962264150943394,0,Small,Spring,Safe,10-15°C
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,3,3,0.0,0.6066666666666667,0,Small,Spring,High,15-20°C
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,8,6,0.0,0.6294117647058823,0,Small,Summer,High,20-25°C
4,5,sep,sat,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,9,5,0.0,0.44130434782608696,0,Small,Autumn,Moderate,20-25°C
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,9,0,0.0,0.3052631578947368,0,Small,Autumn,Moderate,15-20°C
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,3,4,0.0,0.31136363636363634,0,Small,Spring,Moderate,10-15°C
3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,3,4,0.0,0.9894736842105264,0,Small,Spring,High,15-20°C
3,4,sep,sun,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,9,6,0.0,0.5700000000000001,0,Small,Autumn,Moderate,20-25°C
